temp,humidity,predicted_disease
25.3,70.3,Powdery mildew
24.8,69.7,Powdery mildew
24.7,68,Powdery mildew
24.9,66.2,Powdery mildew
24.3,64.8,Powdery mildew
21,70.3,Powdery mildew
20.9,70.2,Powdery mildew
20.6,68.1,Powdery mildew
20.6,63.8,Powdery mildew
20.1,69.4,Powdery mildew
20.3,68.6,Powdery mildew
20.5,65.5,Powdery mildew
21.1,69.8,Powdery mildew
22.8,63.5,Powdery mildew
23.4,66.2,Powdery mildew
24.8,69.2,Powdery mildew
26.7,71.3,Powdery mildew
26.4,73.5,Powdery mildew
29.7,77.8,Powdery mildew
29.7,72.5,Powdery mildew
29.9,75,Powdery mildew
29.9,78.3,Powdery mildew
29.6,79.6,Powdery mildew
28.7,77,Powdery mildew
29.6,73,Powdery mildew
29.9,78.1,Powdery mildew
29.3,72.6,Powdery mildew
28.4,75.6,Powdery mildew
27.3,74.3,Powdery mildew
29.6,72.7,Powdery mildew
28,75,Powdery mildew
27.8,73.4,Powdery mildew
28.9,71.8,Powdery mildew
29.9,72.1,Powdery mildew
28.7,74.5,Powdery mildew
29.3,75.4,Powdery mildew
26.7,76.1,Powdery mildew
27.8,77.1,Powdery mildew
28.5,75.2,Powdery mildew
28.7,74.9,Powdery mildew
28.9,74.4,Powdery mildew
29.5,72.4,Powdery mildew
27.4,72.9,Powdery mildew
26.9,75.3,Powdery mildew
24.3,79.6,Powdery mildew
23.2,78,Powdery mildew
22.9,70.4,Powdery mildew
24.6,69.7,Powdery mildew
25.2,71.5,Powdery mildew
24.2,65.9,Powdery mildew
20.5,66.7,Powdery mildew
22.2,61.1,Powdery mildew
22.3,62.7,Powdery mildew
22.3,62.5,Powdery mildew
21.9,65.1,Powdery mildew
23,65.1,Powdery mildew
23.4,66.9,Powdery mildew
23.1,69,Powdery mildew
22.9,66.4,Powdery mildew
23,68,Powdery mildew
23,68.7,Powdery mildew
22.4,72.9,Powdery mildew
22.8,63.2,Powdery mildew
21.7,67,Powdery mildew
22.5,67.1,Powdery mildew
22,75.8,Powdery mildew
20.8,68.1,Powdery mildew
20.2,69.9,Powdery mildew
21.5,66.8,Powdery mildew
